Sample,Shannon_Index
C_SRR370,4.201036989024523
C_SRR371,4.517939486369597
C_SRR372,5.330052346666728
C_SRR373,3.9327492919652833
C_SRR374,5.571195738740176
C_SRR377,5.196754011539939
C_SRR378,4.919420022012038
C_SRR380,5.419200258263394
C_SRR381,5.391389201321306
C_SRR382,4.470122379245931
PD_SRR316,3.638490761839199
PD_SRR317,4.212124462064281
PD_SRR318,4.578958154094645
PD_SRR319,5.642087520210413
PD_SRR320,5.14784288889508
PD_SRR325,3.7503108638627825
PD_SRR329,5.493292282845745
PD_SRR333,5.460534436286253
PD_SRR334,4.414678787886366
PD_SRR335,3.7503108638627825
